Query,Document,Score
хэмилтон,058.txt,0.05140341337310753
хэмилтон,027.txt,0.047183791834953935
хэмилтон,054.txt,0.04702917140672936
хэмилтон,042.txt,0.04662193963133754
хэмилтон,007.txt,0.04484348851955751
хэмилтон,046.txt,0.037234634670980024
хэмилтон,037.txt,0.035538712153770004
хэмилтон,018.txt,0.03406657655784888
хэмилтон,040.txt,0.03161629883646286
хэмилтон,086.txt,0.031071672959521242
хэмилтон,059.txt,0.02991944810598915
хэмилтон,100.txt,0.028076017086302422
хэмилтон,081.txt,0.02763729658164638
хэмилтон,030.txt,0.026916555650914793
хэмилтон,025.txt,0.026493297530801693
хэмилтон,083.txt,0.02599586628436154
хэмилтон,008.txt,0.023045378020082448
хэмилтон,067.txt,0.018879564393917764
хэмилтон,070.txt,0.018879564393917764
хэмилтон,028.txt,0.018879564393917764
хэмилтон,001.txt,0.018879564393917764
хэмилтон,039.txt,0.018879564393917764
хэмилтон,020.txt,0.018879564393917764
хэмилтон,034.txt,0.018879564393917764
хэмилтон,095.txt,0.018879564393917764
хэмилтон,052.txt,0.018879564393917764
хэмилтон,092.txt,0.018879564393917764
хэмилтон,056.txt,0.018794873054173034
хэмилтон,038.txt,0.018042619282896813
хэмилтон,080.txt,0.01795031097260767
хэмилтон,061.txt,0.016660732431148843
хэмилтон,031.txt,0.016632654353250363
хэмилтон,006.txt,0.016406788413483423
хэмилтон макларен,054.txt,0.06490063357925589
хэмилтон макларен,007.txt,0.06189124150334808
хэмилтон макларен,037.txt,0.04903968255392492
хэмилтон макларен,040.txt,0.04363126274326423
хэмилтон макларен,086.txt,0.04288485554723784
хэмилтон макларен,100.txt,0.03874432996136223
хэмилтон макларен,081.txt,0.03813539088490311
хэмилтон макларен,058.txt,0.037248315494320526
хэмилтон макларен,025.txt,0.036555274387753724
хэмилтон макларен,078.txt,0.03614957261528587
хэмилтон макларен,027.txt,0.034190662626427455
хэмилтон макларен,042.txt,0.033783529193680904
хэмилтон макларен,008.txt,0.03179848360867969
хэмилтон макларен,017.txt,0.031112704829487428
хэмилтон макларен,074.txt,0.030944753311703557
хэмилтон макларен,094.txt,0.03043032802388486
хэмилтон макларен,099.txt,0.027652592721602753
хэмилтон макларен,029.txt,0.027269557386356818
хэмилтон макларен,046.txt,0.02698123195581446
хэмилтон макларен,067.txt,0.026047622213734318
хэмилтон макларен,070.txt,0.026047622213734318
хэмилтон макларен,028.txt,0.026047622213734318
хэмилтон макларен,001.txt,0.026047622213734318
хэмилтон макларен,039.txt,0.026047622213734318
хэмилтон макларен,020.txt,0.026047622213734318
хэмилтон макларен,034.txt,0.026047622213734318
хэмилтон макларен,095.txt,0.026047622213734318
хэмилтон макларен,052.txt,0.026047622213734318
хэмилтон макларен,092.txt,0.026047622213734318
хэмилтон макларен,056.txt,0.025948325765597594
хэмилтон макларен,038.txt,0.02490522649168348
хэмилтон макларен,075.txt,0.024816591613283936
хэмилтон макларен,080.txt,0.02476617471309967
хэмилтон макларен,036.txt,0.02469967194996569
хэмилтон макларен,018.txt,0.024685570629868613
хэмилтон макларен,090.txt,0.023348722044207477
хэмилтон макларен,061.txt,0.02299296775556197
хэмилтон макларен,031.txt,0.022952628175751836
хэмилтон макларен,006.txt,0.02263792908749914
хэмилтон макларен,059.txt,0.021680448229744898
хэмилтон макларен,011.txt,0.02109626861168942
хэмилтон макларен,012.txt,0.019868528637015867
хэмилтон макларен,053.txt,0.019596318036154206
хэмилтон макларен,030.txt,0.01950447044495752
хэмилтон макларен,083.txt,0.01883731381571346
хэмилтон макларен,048.txt,0.01495217650226068
хэмилтон макларен,019.txt,0.013104982026358833
хэмилтон макларен кубок,054.txt,0.07597660198936526
хэмилтон макларен кубок,007.txt,0.0724485519368432
хэмилтон макларен кубок,037.txt,0.057406467230113264
хэмилтон макларен кубок,040.txt,0.051069723213644766
хэмилтон макларен кубок,017.txt,0.04730236314592056
хэмилтон макларен кубок,074.txt,0.04704805923274754
хэмилтон макларен кубок,094.txt,0.04626544427111996
хэмилтон макларен кубок,100.txt,0.045357388835406784
хэмилтон макларен кубок,025.txt,0.042788846236416975
хэмилтон макларен кубок,099.txt,0.04203979908496267
хэмилтон макларен кубок,029.txt,0.04145961372648313
хэмилтон макларен кубок,046.txt,0.039301419079987555
хэмилтон макларен кубок,075.txt,0.03773145655747444
хэмилтон макларен кубок,036.txt,0.03755436713044417
хэмилтон макларен кубок,008.txt,0.03722623204904094
хэмилтон макларен кубок,086.txt,0.03663489608374497
хэмилтон макларен кубок,081.txt,0.032577609609586416
хэмилтон макларен кубок,058.txt,0.0318198149443661
хэмилтон макларен кубок,059.txt,0.03157930227729213
хэмилтон макларен кубок,078.txt,0.030881200818644
хэмилтон макларен кубок,067.txt,0.0304914730305167
хэмилтон макларен кубок,070.txt,0.0304914730305167
хэмилтон макларен кубок,028.txt,0.0304914730305167
хэмилтон макларен кубок,001.txt,0.0304914730305167
хэмилтон макларен кубок,039.txt,0.0304914730305167
хэмилтон макларен кубок,020.txt,0.0304914730305167
хэмилтон макларен кубок,034.txt,0.0304914730305167
хэмилтон макларен кубок,095.txt,0.0304914730305167
хэмилтон макларен кубок,052.txt,0.0304914730305167
хэмилтон макларен кубок,092.txt,0.0304914730305167
хэмилтон макларен кубок,056.txt,0.03037966277172858
хэмилтон макларен кубок,012.txt,0.030212504043976046
хэмилтон макларен кубок,053.txt,0.02978710253413735
хэмилтон макларен кубок,027.txt,0.029207778745432417
хэмилтон макларен кубок,038.txt,0.029154220726785945
хэмилтон макларен кубок,080.txt,0.028986545459911715
хэмилтон макларен кубок,042.txt,0.028859980185531504
хэмилтон макларен кубок,030.txt,0.028412049218203266
хэмилтон макларен кубок,083.txt,0.02744176762573504
хэмилтон макларен кубок,061.txt,0.026915954609664144
хэмилтон макларен кубок,031.txt,0.026865515513136984
хэмилтон макларен кубок,018.txt,0.021087941261619378
хэмилтон макларен кубок,090.txt,0.019945922514198144
хэмилтон макларен кубок,006.txt,0.019338719207254863
хэмилтон макларен кубок,091.txt,0.019331775197912984
хэмилтон макларен кубок,015.txt,0.019224684035193954
хэмилтон макларен кубок,011.txt,0.018021737475428935
хэмилтон макларен кубок,016.txt,0.01790331271730576
хэмилтон макларен кубок,057.txt,0.01771080319846375
хэмилтон макларен кубок,069.txt,0.01730439476299424
хэмилтон макларен кубок,093.txt,0.017199705868937244
хэмилтон макларен кубок,063.txt,0.016385035414665773
хэмилтон макларен кубок,002.txt,0.01624390937857664
хэмилтон макларен кубок,085.txt,0.01592786775942484
хэмилтон макларен кубок,013.txt,0.014039741288716842
хэмилтон макларен кубок,079.txt,0.014006404702923256
хэмилтон макларен кубок,032.txt,0.01379785871614027
хэмилтон макларен кубок,087.txt,0.01363872322913711
хэмилтон макларен кубок,003.txt,0.012843726174471411
хэмилтон макларен кубок,048.txt,0.012773073976727311
хэмилтон макларен кубок,047.txt,0.012527330283584735
хэмилтон макларен кубок,060.txt,0.01158873379146632
хэмилтон макларен кубок,019.txt,0.011195086204410083
хэмилтон макларен кубок,004.txt,0.01010250963155656
хэмилтон макларен кубок,064.txt,0.009210710634958244
хэмилтон макларен кубок,051.txt,0.009181726387845649
хэмилтон макларен кубок,021.txt,0.00918111720305667
хэмилтон макларен кубок,023.txt,0.006673622897807715
хэмилтон макларен кубок,096.txt,0.00377998409882292
